trait,attribute,family
intersegmental raphes and interannular sutures,darker,amphisbaenidae
head anterior to the fifth body annulus and the distal tip of the tail,completely unpigmented,amphisbaenidae
trunk,oval in cross section and shows some vertical compression,amphisbaenidae
trunk diameter,changes only gradually,amphisbaenidae
second body annulus,splits dorsally to form a dorsal intercalated half-annulus,amphisbaenidae
impression of the segment centers,appear darker,amphisbaenidae
second body annulus,"splits dorsally to form a dorsal intercalated half-annulus, all of the segments of this area being enlarged, irregular, and variously polygonal",amphisbaenidae
postgenial row,dropshaped segments,amphisbaenidae
cloacal region,"shows modification, irregularity in segment sizing appears",amphisbaenidae
tail,"bluntly oval at its base, swells laterally beyond the autotomy constriction, and then shows some faint lateral compression toward the distal tip",amphisbaenidae
the middorsal segments,approximately 1.5 times as long as wide,amphisbaenidae
the midventral segments,about 1.4 times as wide as long,amphisbaenidae
body type,slender,amphisbaenidae
preanal pores,"usually 4, rarely 2, 5 or 6, cicatricial",amphisbaenidae
body annuli,225-247,amphisbaenidae
tail annuli,20-26,amphisbaenidae
segments to a midbody annulus,12-16/16-20,amphisbaenidae
prefrontals,the largest scales on top of the head,amphisbaenidae
parietals,"very variable, irregular",amphisbaenidae
labials,"three upper and three lower, the second by far the largest",amphisbaenidae
rostro-anal length,156 mm,amphisbaenidae
head shape,"slightly arcuate in profile, snout rounded in dorsal view",amphisbaenidae
tail,"relatively short, cylindrical proximally, progressively a little thinner on the distal two thirds, terminal cap slightly acuminate, little incised",amphisbaenidae
broken tails,with 5-9 annuli remaining,amphisbaenidae
median dorsal sutures of the head,"prefrontal the longest, frontal, nasal",amphisbaenidae
postsymphysial,"large, seven- or eight-sided",amphisbaenidae
genials,"lateral genials moderate, anterior medial genials two, second row of medial genials with three irregular elements, postgenials four or five on each side",amphisbaenidae
ventral and dorsal sulci,no ventral or dorsal sulci,amphisbaenidae
lateral sulci,always present,amphisbaenidae
preanal flap,"semicircular, with 8 scales",amphisbaenidae
dorsal color,reddish brown,amphisbaenidae
head color,a little lighter,amphisbaenidae
ventral color,waxy yellow to light cream,amphisbaenidae
underside of tail,with a variable area of light segments with dark spots on the middle,amphisbaenidae
svl,212 mm,amphisbaenidae
tail,22 mm,amphisbaenidae
tail shape,"cylindrical, not especially tapering, rounded terminally",amphisbaenidae
caudal autotomy,between 5-7 caudal annuli,amphisbaenidae
rostral and nasal,fused,amphisbaenidae
body annuli,209-243,amphisbaenidae
caudal annuli,17-22,amphisbaenidae
dorsal segments/midbody annulus,12-16,amphisbaenidae
ventral segments/midbody annulus,14-20,amphisbaenidae
rows of postgenials,2,amphisbaenidae
postmalar chin shields,no (or only very occasionally 1),amphisbaenidae
precloacal pores,4-9,amphisbaenidae
nasal suture,short,amphisbaenidae
temporal,1,amphisbaenidae
dorsum color,uniform brown,amphisbaenidae
head color,only slightly darker,amphisbaenidae
tail color,only slightly darker,amphisbaenidae
darker centers of segments,not obvious macroscopically,amphisbaenidae
nasals,totally separated or reduced to medial point contact,amphisbaenidae
rostral,"ascending, generally contacts the frontals",amphisbaenidae
postocular and parietal head scales,azygous fusion,amphisbaenidae
supralabials,three equally sized,amphisbaenidae
infralabial on each side,"one medium, one large, and one small",amphisbaenidae
postgenial and postmalar rows of chin shields,two postgenial,amphisbaenidae
body annuli,230-235,amphisbaenidae
caudal annuli,17-18,amphisbaenidae
autotomy constriction,fifth to seventh postcloacal annulus,amphisbaenidae
dorsal segments per midbody annulus,16,amphisbaenidae
ventral segments per midbody annulus,18,amphisbaenidae
precloacal pores,"four, large, circular",amphisbaenidae
dorsal color,brown,amphisbaenidae
ventral color,lighter,amphisbaenidae
color at rectangular centers of each segment,the color is densest,amphisbaenidae
color in the neck and caudal regions,lighter,amphisbaenidae
trunk diameter,approximately the same,amphisbaenidae
first supralabial,slightly larger than the rostral,amphisbaenidae
prefrontals,large,amphisbaenidae
second infralabials and third infralabials,"large, smaller, rectangular",amphisbaenidae
malars,roughly as wide as long,amphisbaenidae
first body annulus,includes one to two small segments posterior to the third supralabial,amphisbaenidae
body annuli,230-235,amphisbaenidae
middle body annulus,contains 14 to 16 dorsal and 16 to 18 ventral segments,amphisbaenidae
precloacal pores,"four large, circular",amphisbaenidae
caudal annuli,17-18,amphisbaenidae
tail,"horizontally oval in section at its base, then reaches a vertically oval section, with an indented ventral surface in the terminal third",amphisbaenidae
ventral segments,approximately 1.5 times as wide as long,amphisbaenidae
svl,400 mm,amphisbaenidae
body annuli,242,amphisbaenidae
caudal annuli,six,amphisbaenidae
dorsal midbody segments,20,amphisbaenidae
ventral midbody segments,22,amphisbaenidae
supralabials,three,amphisbaenidae
infralabials,three,amphisbaenidae
precloacal pores,"four, outside the known range",amphisbaenidae
rostro-anal length,145 mm,amphisbaenidae
preanal pores,2,amphisbaenidae
body annuli,250-262,amphisbaenidae
head shape,"elongate, with subparallel sides",amphisbaenidae
occipitals,"polygonal, relatively large",amphisbaenidae
postocular,one large,amphisbaenidae
supralabials,"4, second and third highest",amphisbaenidae
symphysial,moderate,amphisbaenidae
infralabials,"4, second largest, third and fourth low",amphisbaenidae
post-symphysial,moderate,amphisbaenidae
ventral sulcus,not apparent,amphisbaenidae
segments to a midbody annulus,12/12-15,amphisbaenidae
midventral segments,"1,5 to 2 times as broad as long",amphisbaenidae
preanal pores,"2, small but distinct, rounded, not cicatricial",amphisbaenidae
tail,with 22-24 annuli,amphisbaenidae
sutures between annuli,"very well marked, deep",amphisbaenidae
dorsum color,isabeline brown,amphisbaenidae
venter color,lighter,amphisbaenidae
on the posterior third of the back color,fine white lines,amphisbaenidae
posterior margin of the segments,show a dark bar,amphisbaenidae
size,medium-sized,amphisbaenidae
pre-cloacal pores,"two, oval",amphisbaenidae
first parietals,"twice as wide, much larger",amphisbaenidae
supralabials,three,amphisbaenidae
infralabials,three,amphisbaenidae
body annuli,211-220,amphisbaenidae
caudal annuli (up to autotomy constriction),seven,amphisbaenidae
caudal annuli (from cloaca to tip),28-29,amphisbaenidae
caudal tip,faintly compressed lateraly,amphisbaenidae
dorsal segments/midbody annulus,12-14,amphisbaenidae
ventral segments/midbody annulus,14-16,amphisbaenidae
pre-cloacal pores,two,amphisbaenidae
color of preserved specimens,uniform darkish brown,amphisbaenidae
dorsal surface,darker,amphisbaenidae
head or tail color,no particular variegation or differentiation,amphisbaenidae
head,rounded,amphisbaenidae
segments on the tip of the tail,smooth,amphisbaenidae
precloacal pores,four,amphisbaenidae
body annuli,202-218,amphisbaenidae
postmalar shields,present,amphisbaenidae
caudal annuli,18-25,amphisbaenidae
caudal autotomy,visible between 5 and 9 tail annuli,amphisbaenidae
segments on the midbody annulus,10-14,amphisbaenidae
svl in adults,102-151 mm,amphisbaenidae
distance between ocular shields,28.7-37.5% of head length,amphisbaenidae
supralabial shields,3/3,amphisbaenidae
nasal suture,14.1-20.8 % of head length,amphisbaenidae
frontal shield,"large, larger than parietal shield, 25.9-35.8 % of head length",amphisbaenidae
size,small,amphisbaenidae
tail,relatively long,amphisbaenidae
body annuli,221 (+1+1/2),amphisbaenidae
tail annuli,27 +1,amphisbaenidae
scales around midbody,16 + 16,amphisbaenidae
supralabials,three,amphisbaenidae
infralabials,three,amphisbaenidae
preanal pores,four,amphisbaenidae
autotomy constriction,at the eighth caudal annulus,amphisbaenidae
head color,creamish,amphisbaenidae
back and tail dorsal surface,brown,amphisbaenidae
ventral parts and middle tail color,creamish,amphisbaenidae
snout-vent length,188 mm,amphisbaenidae
tail length,25 mm,amphisbaenidae
postrostral head shield,paired,amphisbaenidae
midventral segments of each annulus,broadened to twice their length,amphisbaenidae
precloacal pores,"single pair, round",amphisbaenidae
body annuli,151-161,amphisbaenidae
caudal annuli,20-21,amphisbaenidae
autotomy constriction,at the 4th to 6th postcloacal annulus,amphisbaenidae
dorsal segments to a midbody annulus,12-14,amphisbaenidae
ventral segments to a midbody annulus,12-14,amphisbaenidae
precloacal segments,4-6,amphisbaenidae
color,"dark brown, fading slightly toward the ventral surface",amphisbaenidae
segment border color on the sides,"lighter edge, most marked ventrally",amphisbaenidae
lower jaws,broken,amphisbaenidae
back's segmental margins and intersegmental raphes,insignificantly lighter,amphisbaenidae
ventral surface's segmental margins,significantly lighter,amphisbaenidae
head and tail color,densest,amphisbaenidae
first two body annuli,correspond to two dorsal half-annuli,amphisbaenidae
numbers of dorsal and ventral half-annuli,equal,amphisbaenidae
middorsal segments,slightly longer than wide,amphisbaenidae
midventral line segments,two to three times as wide as long,amphisbaenidae
prefrontal,largest segment on the dorsal,amphisbaenidae
second infralabial,by far the largest segment on the ventral surface of the head,amphisbaenidae
snout,strongly prognathous,amphisbaenidae
postocular and parietal segments,enlarged,amphisbaenidae
caudal tip,"dark, pigmented",amphisbaenidae
body annuli,222-226,amphisbaenidae
caudal annuli,19-24,amphisbaenidae
autotomy annulus,"clearly marked, falls on the sixth to ninth postcloacal annuli",amphisbaenidae
dorsal segments,10,amphisbaenidae
ventral segments,16,amphisbaenidae
pores,"four clearly marked, round",amphisbaenidae
tail shape,"cylindrical, with a conical distal tip",amphisbaenidae
color,very light brownish white,amphisbaenidae
dorsal surface color,very slightly darker,amphisbaenidae
caudal annuli color,"last six to eight annuli much more heavily pigmented, both dorsally and ventrally",amphisbaenidae
pattern,speckling,amphisbaenidae
dorsal color,dark purplish-brown,amphisbaenidae
ventral coloration,light,amphisbaenidae
dorsal surfaces of head and tail,more densely and solidly pigmented,amphisbaenidae
the head,flattened,amphisbaenidae
pectoral region,considerable dorsoventral compression,amphisbaenidae
muscle masses over the parietal portion of the skull,do not change the outline of the head in large specimens,amphisbaenidae
rostral,"small, scarcely visible from above",amphisbaenidae
angles of the mouth,anterior to the posterior edge of the frontals,amphisbaenidae
occipitals,no larger than the dorsal segments,amphisbaenidae
supralabials,"second largest, four",amphisbaenidae
infralabials,three plus a small fourth scale,amphisbaenidae
body annuli,261-79,amphisbaenidae
neck region,first four to six annuli shorter than body annuli,amphisbaenidae
segments per midbody annulus,"16 or 18 dorsals, 24 or 26 ventrals, 42 or 44 total",amphisbaenidae
folding lines/grooves,present but not differentiated,amphisbaenidae
lateral lines,faintly indicated,amphisbaenidae
precloacal pores,four,amphisbaenidae
precloacal segments,"six to nine, of which the central six are often large and of equal size",amphisbaenidae
post-cloacal segments,11 to 16 very irregular radial segments,amphisbaenidae
pores of males,large and generally pigmented,amphisbaenidae
pores of females,"smaller, faintly indicated and non-pigmented",amphisbaenidae
head shields,without major fusions,amphisbaenidae
large first and second parietals,"paired, very large (for the first one), slightly reduced (for the second one)",amphisbaenidae
head,relatively blunt,amphisbaenidae
neck,not particularly set off,amphisbaenidae
tail,"cylindrical, blunt-tipped",amphisbaenidae
autotomy constriction,at the sixth to eighth caudal annulus,amphisbaenidae
body annuli,198-218,amphisbaenidae
caudal annuli,"16-19, with 18 or 19 being common",amphisbaenidae
dorsal segments,"12-16, generally 14",amphisbaenidae
ventral segments,"16-20, generally 18",amphisbaenidae
precloacal pores,"4, round, small",amphisbaenidae
color of preserved specimens,uniform dark brown,amphisbaenidae
dorsal color,darker,amphisbaenidae
ventral color,lighter,amphisbaenidae
tip of tail and snout color,lightened,amphisbaenidae
pigmentation of segments,dense,amphisbaenidae
intersegmental sutures,lighter,amphisbaenidae
nasalsutur,half as long as the one between the frontals and one third of the prefrentals,amphisbaenidae
